wave	flux	eflux
3.23495987e+03	4.65461000e-14	4.65461000e-15
3.23557082e+03	4.81013000e-14	4.81013000e-15
3.23618177e+03	4.85641800e-14	4.85641800e-15
3.23679272e+03	4.55714700e-14	4.55714700e-15
3.23740368e+03	4.81703800e-14	4.81703800e-15
3.23801463e+03	4.91387500e-14	4.91387500e-15
3.23862558e+03	4.84292800e-14	4.84292800e-15
3.23923653e+03	4.71189700e-14	4.71189700e-15
3.23984748e+03	5.00455800e-14	5.00455800e-15
3.24045843e+03	5.27107100e-14	5.27107100e-15
3.24106938e+03	5.01666300e-14	5.01666300e-15
3.24168033e+03	4.85033100e-14	4.85033100e-15
3.24229128e+03	5.04912900e-14	5.04912900e-15
3.24290223e+03	5.09872600e-14	5.09872600e-15
3.24351318e+03	4.73355200e-14	4.73355200e-15
3.24412413e+03	4.66751800e-14	4.66751800e-15
3.24473508e+03	4.89903500e-14	4.89903500e-15
3.24534604e+03	4.67036900e-14	4.67036900e-15
3.24595699e+03	4.83302000e-14	4.83302000e-15
3.24656794e+03	4.67004500e-14	4.67004500e-15
3.24717889e+03	4.79113200e-14	4.79113200e-15
3.24778984e+03	4.85852900e-14	4.85852900e-15
3.24840079e+03	5.15823300e-14	5.15823300e-15
3.24901174e+03	5.16534800e-14	5.16534800e-15
3.24962269e+03	4.96269200e-14	4.96269200e-15
3.25023364e+03	5.04578700e-14	5.04578700e-15
3.25084459e+03	4.68928600e-14	4.68928600e-15
3.25145554e+03	4.77319500e-14	4.77319500e-15
3.25206649e+03	4.68005500e-14	4.68005500e-15
3.25267745e+03	4.53549700e-14	4.53549700e-15
3.25328840e+03	4.77581100e-14	4.77581100e-15
3.25389935e+03	4.69892300e-14	4.69892300e-15
3.25451030e+03	4.47157100e-14	4.47157100e-15
3.25512125e+03	4.77898200e-14	4.77898200e-15
3.25573220e+03	4.94401900e-14	4.94401900e-15
3.25634315e+03	4.70031800e-14	4.70031800e-15
3.25695410e+03	4.77346000e-14	4.77346000e-15
3.25756505e+03	4.87305200e-14	4.87305200e-15
3.25817600e+03	4.91753300e-14	4.91753300e-15
