wave	flux	eflux
3.35612619e+03	1.26625300e-15	1.26625300e-16
3.35672714e+03	1.03244700e-15	1.03244700e-16
3.35732808e+03	5.54667700e-16	5.54667700e-17
3.35792903e+03	1.00412800e-15	1.00412800e-16
3.35852998e+03	1.50111600e-15	1.50111600e-16
3.35913093e+03	1.19988600e-15	1.19988600e-16
3.35973187e+03	2.07750200e-15	2.07750200e-16
3.36033282e+03	1.45995400e-15	1.45995400e-16
3.36093377e+03	9.96384000e-16	9.96384000e-17
3.36153471e+03	1.25852400e-15	1.25852400e-16
3.36213566e+03	1.24012100e-15	1.24012100e-16
3.36273661e+03	9.58737500e-16	9.58737500e-17
3.36333755e+03	1.58344600e-15	1.58344600e-16
3.36393850e+03	1.26494000e-15	1.26494000e-16
3.36453945e+03	1.31326300e-15	1.31326300e-16
3.36514040e+03	1.69951200e-15	1.69951200e-16
3.36574134e+03	9.20148200e-16	9.20148200e-17
3.36634229e+03	7.32510600e-16	7.32510600e-17
3.36694324e+03	1.26232500e-15	1.26232500e-16
3.36754418e+03	1.24059200e-15	1.24059200e-16
3.36814513e+03	1.15220900e-15	1.15220900e-16
3.36874608e+03	9.37390200e-16	9.37390200e-17
3.36934703e+03	1.37691800e-15	1.37691800e-16
3.36994797e+03	1.31673600e-15	1.31673600e-16
3.37054892e+03	1.29928600e-15	1.29928600e-16
3.37114987e+03	1.78250900e-15	1.78250900e-16
3.37175081e+03	1.97544800e-15	1.97544800e-16
3.37235176e+03	1.56917400e-15	1.56917400e-16
3.37295271e+03	9.74125200e-16	9.74125200e-17
3.37355366e+03	1.29915500e-15	1.29915500e-16
3.37415460e+03	1.61186800e-15	1.61186800e-16
3.37475555e+03	1.69822400e-15	1.69822400e-16
3.37535650e+03	1.04161000e-15	1.04161000e-16
3.37595744e+03	1.24981000e-15	1.24981000e-16
3.37655839e+03	2.26045600e-15	2.26045600e-16
3.37715934e+03	1.82408800e-15	1.82408800e-16
3.37776028e+03	1.35013600e-15	1.35013600e-16
3.37836123e+03	1.37347100e-15	1.37347100e-16
3.37896218e+03	1.43811300e-15	1.43811300e-16
3.37956313e+03	2.01177800e-15	2.01177800e-16
3.38016407e+03	1.67972400e-15	1.67972400e-16
3.38076502e+03	1.01013800e-15	1.01013800e-16
3.38136597e+03	1.47266400e-15	1.47266400e-16
3.38196691e+03	1.52974400e-15	1.52974400e-16
3.38256786e+03	9.56485500e-16	9.56485500e-17
3.38316881e+03	8.77391500e-16	8.77391500e-17
3.38376976e+03	1.38452900e-15	1.38452900e-16
3.38437070e+03	1.18959300e-15	1.18959300e-16
3.38497165e+03	1.11452200e-15	1.11452200e-16
3.38557260e+03	1.35038800e-15	1.35038800e-16
3.38617354e+03	1.45777100e-15	1.45777100e-16
3.38677449e+03	1.65099300e-15	1.65099300e-16
3.38737544e+03	1.52316800e-15	1.52316800e-16
3.38797639e+03	1.23057700e-15	1.23057700e-16
3.38857733e+03	1.37950900e-15	1.37950900e-16
3.38917828e+03	1.37210700e-15	1.37210700e-16
3.38977923e+03	1.13589200e-15	1.13589200e-16
3.39038017e+03	1.44103000e-15	1.44103000e-16
3.39098112e+03	1.41012900e-15	1.41012900e-16
3.39158207e+03	1.40476500e-15	1.40476500e-16
3.39218301e+03	1.19826500e-15	1.19826500e-16
3.39278396e+03	9.94327400e-16	9.94327400e-17
3.39338491e+03	1.33974200e-15	1.33974200e-16
3.39398586e+03	1.14581800e-15	1.14581800e-16
3.39458680e+03	1.86424800e-15	1.86424800e-16
3.39518775e+03	1.30046700e-15	1.30046700e-16
3.39578870e+03	1.67659500e-15	1.67659500e-16
3.39638964e+03	2.18966900e-15	2.18966900e-16
3.39699059e+03	1.65768200e-15	1.65768200e-16
3.39759154e+03	1.29101600e-15	1.29101600e-16
3.39819249e+03	1.43793300e-15	1.43793300e-16
3.39879343e+03	1.38735400e-15	1.38735400e-16
3.39939438e+03	1.26968300e-15	1.26968300e-16
3.39999533e+03	4.39065500e-16	4.39065500e-17
3.40059627e+03	8.19058500e-16	8.19058500e-17
3.40119722e+03	1.01349300e-15	1.01349300e-16
3.40179817e+03	1.28419500e-15	1.28419500e-16
3.40239912e+03	1.67426900e-15	1.67426900e-16
3.40300006e+03	1.18292800e-15	1.18292800e-16
3.40360101e+03	1.26111200e-15	1.26111200e-16
3.40420196e+03	1.38948000e-15	1.38948000e-16
3.40480290e+03	1.31943900e-15	1.31943900e-16
3.40540385e+03	9.86874800e-16	9.86874800e-17
3.40600480e+03	9.60656900e-16	9.60656900e-17
3.40660574e+03	9.30876900e-16	9.30876900e-17
3.40720669e+03	1.32789900e-15	1.32789900e-16
3.40780764e+03	1.40093700e-15	1.40093700e-16
3.40840859e+03	8.58323600e-16	8.58323600e-17
3.40900953e+03	9.18930200e-16	9.18930200e-17
3.40961048e+03	1.42601500e-15	1.42601500e-16
3.41021143e+03	1.36612500e-15	1.36612500e-16
3.41081237e+03	1.26196000e-15	1.26196000e-16
3.41141332e+03	8.57648600e-16	8.57648600e-17
3.41201427e+03	9.94847600e-16	9.94847600e-17
3.41261522e+03	1.38547500e-15	1.38547500e-16
3.41321616e+03	1.10176300e-15	1.10176300e-16
3.41381711e+03	8.32712700e-16	8.32712700e-17
3.41441806e+03	1.29098900e-15	1.29098900e-16
3.41501900e+03	1.03002800e-15	1.03002800e-16
3.41561995e+03	1.05484300e-15	1.05484300e-16
3.41622090e+03	1.31672400e-15	1.31672400e-16
3.41682185e+03	1.18279900e-15	1.18279900e-16
3.41742279e+03	1.23364000e-15	1.23364000e-16
3.41802374e+03	1.30842500e-15	1.30842500e-16
3.41862469e+03	1.30565900e-15	1.30565900e-16
3.41922563e+03	1.27825600e-15	1.27825600e-16
3.41982658e+03	1.13143300e-15	1.13143300e-16
3.42042753e+03	1.01988800e-15	1.01988800e-16
3.42102848e+03	1.17282900e-15	1.17282900e-16
3.42162942e+03	1.36323900e-15	1.36323900e-16
3.42223037e+03	8.94100700e-16	8.94100700e-17
3.42283132e+03	9.90369800e-16	9.90369800e-17
3.42343226e+03	1.49849900e-15	1.49849900e-16
3.42403321e+03	1.45770200e-15	1.45770200e-16
3.42463416e+03	1.53879000e-15	1.53879000e-16
3.42523510e+03	1.39585300e-15	1.39585300e-16
3.42583605e+03	1.04898500e-15	1.04898500e-16
3.42643700e+03	8.16862500e-16	8.16862500e-17
3.42703795e+03	9.91342200e-16	9.91342200e-17
3.42763889e+03	1.22820800e-15	1.22820800e-16
3.42823984e+03	1.41196500e-15	1.41196500e-16
3.42884079e+03	1.43660400e-15	1.43660400e-16
3.42944173e+03	1.03231100e-15	1.03231100e-16
3.43004268e+03	1.13590000e-15	1.13590000e-16
3.43064363e+03	1.32018000e-15	1.32018000e-16
3.43124458e+03	1.62115000e-15	1.62115000e-16
3.43184552e+03	1.05771900e-15	1.05771900e-16
3.43244647e+03	1.21358200e-15	1.21358200e-16
3.43304742e+03	1.72233100e-15	1.72233100e-16
